"Indicator","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Eastern Mediterranean","Egypt","Female","0.8 [0.5-1.1]","0.80000","0.50000","1.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Eastern Mediterranean","Iran (Islamic Republic of)","Female","2.9 [2.1-3.8]","2.90000","2.10000","3.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Eastern Mediterranean","Lebanon","Female","31.0 [21.9-40.5]","31.00000","21.90000","40.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Eastern Mediterranean","Lebanon","Female","34.1 [21.3-49.8]","34.10000","21.30000","49.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Eastern Mediterranean","Morocco","Female","1.4 [0.7-2.2]","1.40000","0.70000","2.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Eastern Mediterranean","Pakistan","Female","5.9 [4.1-7.6]","5.90000","4.10000","7.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Eastern Mediterranean","Saudi Arabia","Female","3.3 [2.2-4.6]","3.30000","2.20000","4.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Albania","Male","52.1 [40.3-64.9]","52.10000","40.30000","64.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Andorra","Male","38.5 [28.6-50.1]","38.50000","28.60000","50.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Armenia","Male","48.4 [35.9-61.5]","48.40000","35.90000","61.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Austria","Male","46.4 [34.5-61.3]","46.40000","34.50000","61.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Austria","Male","30.0 [16.9-46.9]","30.00000","16.90000","46.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Azerbaijan","Male","54.1 [27.5-88.2]","54.10000","27.50000","88.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Belgium","Male","32.1 [22.7-43.4]","32.10000","22.70000","43.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Bulgaria","Male","52.7 [42.3-64.6]","52.70000","42.30000","64.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Bulgaria","Male","47.1 [38.2-56.8]","47.10000","38.20000","56.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Bulgaria","Male","45.2 [34.8-54.7]","45.20000","34.80000","54.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Bosnia and Herzegovina","Male","50.0 [37.0-63.0]","50.00000","37.00000","63.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Bosnia and Herzegovina","Male","47.2 [32.2-63.3]","47.20000","32.20000","63.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Bosnia and Herzegovina","Male","44.4 [27.9-66.2]","44.40000","27.90000","66.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Belarus","Male","46.2 [35.6-57.0]","46.20000","35.60000","57.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Switzerland","Male","24.7 [19.3-31.0]","24.70000","19.30000","31.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Czech Republic","Male","35.7 [24.0-49.6]","35.70000","24.00000","49.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Germany","Male","36.1 [30.2-42.1]","36.10000","30.20000","42.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Denmark","Male","31.1 [25.0-36.9]","31.10000","25.00000","36.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Denmark","Male","17.6 [13.4-22.2]","17.60000","13.40000","22.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Spain","Male","33.7 [27.2-41.1]","33.70000","27.20000","41.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Spain","Male","28.0 [20.6-36.6]","28.00000","20.60000","36.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Estonia","Male","43.6 [35.0-52.3]","43.60000","35.00000","52.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Estonia","Male","41.2 [32.2-51.1]","41.20000","32.20000","51.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Estonia","Male","34.2 [22.7-48.0]","34.20000","22.70000","48.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Finland","Male","33.8 [27.2-39.7]","33.80000","27.20000","39.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Finland","Male","18.3 [12.4-23.7]","18.30000","12.40000","23.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","France","Male","34.8 [27.4-44.3]","34.80000","27.40000","44.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","France","Male","25.7 [15.3-38.2]","25.70000","15.30000","38.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","United Kingdom of Great Britain and Northern Ireland","Male","26.8 [21.9-32.0]","26.80000","21.90000","32.00000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","United Kingdom of Great Britain and Northern Ireland","Male","23.0 [19.0-28.7]","23.00000","19.00000","28.70000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Georgia","Male","63.4 [49.6-78.7]","63.40000","49.60000","78.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Georgia","Male","59.6 [47.5-74.1]","59.60000","47.50000","74.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Greece","Male","54.3 [39.0-71.6]","54.30000","39.00000","71.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Greece","Male","52.6 [34.4-68.5]","52.60000","34.40000","68.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Croatia","Male","39.4 [29.4-49.2]","39.40000","29.40000","49.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Ireland","Male","28.9 [23.5-35.0]","28.90000","23.50000","35.00000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Iceland","Male","33.5 [21.7-48.3]","33.50000","21.70000","48.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Israel","Male","41.7 [29.0-56.4]","41.70000","29.00000","56.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Italy","Male","29.1 [23.7-33.3]","29.10000","23.70000","33.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Kazakhstan","Male","40.3 [27.3-55.6]","40.30000","27.30000","55.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Kyrgyzstan","Male","50.3 [36.2-65.7]","50.30000","36.20000","65.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Kyrgyzstan","Male","50.4 [33.8-70.3]","50.40000","33.80000","70.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Latvia","Male","57.1 [45.6-67.6]","57.10000","45.60000","67.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Latvia","Male","51.6 [42.4-62.7]","51.60000","42.40000","62.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Republic of Moldova","Male","42.1 [33.7-50.2]","42.10000","33.70000","50.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Republic of Moldova","Male","45.7 [34.1-55.8]","45.70000","34.10000","55.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Malta","Male","31.5 [23.1-40.6]","31.50000","23.10000","40.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Malta","Male","29.7 [20.8-40.2]","29.70000","20.80000","40.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Malta","Male","27.7 [16.6-40.7]","27.70000","16.60000","40.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Norway","Male","34.7 [29.0-40.4]","34.70000","29.00000","40.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Poland","Male","46.9 [33.2-60.3]","46.90000","33.20000","60.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Poland","Male","41.1 [32.5-50.0]","41.10000","32.50000","50.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Poland","Male","36.5 [30.0-44.6]","36.50000","30.00000","44.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Portugal","Male","34.5 [26.7-42.3]","34.50000","26.70000","42.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Romania","Male","33.1 [21.4-45.0]","33.10000","21.40000","45.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Romania","Male","29.8 [16.7-44.2]","29.80000","16.70000","44.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Russian Federation","Male","59.0 [46.6-72.5]","59.00000","46.60000","72.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Serbia","Male","40.6 [29.2-55.5]","40.60000","29.20000","55.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Slovenia","Male","29.9 [23.9-36.7]","29.90000","23.90000","36.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Slovenia","Male","27.0 [21.6-32.1]","27.00000","21.60000","32.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Slovenia","Male","23.6 [18.3-29.8]","23.60000","18.30000","29.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Sweden","Male","20.4 [16.4-24.3]","20.40000","16.40000","24.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Turkey","Male","39.5 [31.6-49.6]","39.50000","31.60000","49.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Turkey","Male","34.7 [24.6-43.8]","34.70000","24.60000","43.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Ukraine","Male","46.3 [35.6-59.0]","46.30000","35.60000","59.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Ukraine","Male","43.6 [30.8-55.9]","43.60000","30.80000","55.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Albania","Female","5.8 [2.7-9.2]","5.80000","2.70000","9.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Andorra","Female","30.2 [22.5-39.1]","30.20000","22.50000","39.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Andorra","Female","28.4 [18.8-36.7]","28.40000","18.80000","36.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Armenia","Female","1.7 [1.4-2.1]","1.70000","1.40000","2.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Austria","Female","35.9 [24.3-48.6]","35.90000","24.30000","48.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Bulgaria","Female","42.0 [29.0-55.4]","42.00000","29.00000","55.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Bulgaria","Female","36.4 [27.4-45.1]","36.40000","27.40000","45.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Bosnia and Herzegovina","Female","33.6 [26.2-41.5]","33.60000","26.20000","41.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Bosnia and Herzegovina","Female","31.7 [24.2-41.0]","31.70000","24.20000","41.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Belarus","Female","12.3 [9.6-14.6]","12.30000","9.60000","14.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Switzerland","Female","20.9 [17.7-24.8]","20.90000","17.70000","24.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Switzerland","Female","19.7 [16.2-23.9]","19.70000","16.20000","23.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Czech Republic","Female","28.9 [20.1-38.6]","28.90000","20.10000","38.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Germany","Female","27.7 [20.5-35.0]","27.70000","20.50000","35.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Germany","Female","27.0 [18.2-35.3]","27.00000","18.20000","35.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Denmark","Female","34.6 [26.7-42.2]","34.60000","26.70000","42.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Denmark","Female","27.0 [21.9-32.6]","27.00000","21.90000","32.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Denmark","Female","10.1 [6.3-13.9]","10.10000","6.30000","13.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Estonia","Female","27.4 [22.3-33.1]","27.40000","22.30000","33.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Estonia","Female","26.5 [21.2-31.1]","26.50000","21.20000","31.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","France","Female","25.8 [19.4-33.4]","25.80000","19.40000","33.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","France","Female","24.9 [16.3-35.3]","24.90000","16.30000","35.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","France","Female","24.4 [14.3-36.7]","24.40000","14.30000","36.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","United Kingdom of Great Britain and Northern Ireland","Female","18.4 [14.0-23.7]","18.40000","14.00000","23.70000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","United Kingdom of Great Britain and Northern Ireland","Female","15.9 [11.1-22.3]","15.90000","11.10000","22.30000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Georgia","Female","6.5 [5.0-8.2]","6.50000","5.00000","8.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Greece","Female","42.4 [24.9-64.9]","42.40000","24.90000","64.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Croatia","Female","32.3 [24.8-40.5]","32.30000","24.80000","40.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Hungary","Female","26.5 [19.4-32.8]","26.50000","19.40000","32.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Hungary","Female","22.4 [14.7-30.0]","22.40000","14.70000","30.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Iceland","Female","10.6 [5.3-17.2]","10.60000","5.30000","17.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Israel","Female","17.9 [8.4-29.3]","17.90000","8.40000","29.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Italy","Female","20.2 [16.9-24.0]","20.20000","16.90000","24.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Kazakhstan","Female","10.6 [8.3-13.0]","10.60000","8.30000","13.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Kyrgyzstan","Female","3.9 [2.9-5.2]","3.90000","2.90000","5.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Lithuania","Female","22.9 [14.7-32.2]","22.90000","14.70000","32.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Luxembourg","Female","20.4 [12.8-29.7]","20.40000","12.80000","29.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Republic of Moldova","Female","5.4 [4.2-6.7]","5.40000","4.20000","6.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Malta","Female","26.9 [20.3-35.8]","26.90000","20.30000","35.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Malta","Female","21.5 [16.1-27.9]","21.50000","16.10000","27.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Norway","Female","14.7 [11.2-18.4]","14.70000","11.20000","18.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Poland","Female","20.6 [13.7-28.3]","20.60000","13.70000","28.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Poland","Female","17.8 [9.4-26.4]","17.80000","9.40000","26.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Europe","Serbia","Female","40.2 [31.0-49.4]","40.20000","31.00000","49.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Europe","Serbia","Female","39.8 [30.1-48.4]","39.80000","30.10000","48.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Serbia","Female","39.7 [28.1-50.5]","39.70000","28.10000","50.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Serbia","Female","39.3 [25.9-53.9]","39.30000","25.90000","53.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Europe","Sweden","Female","34.6 [26.4-42.5]","34.60000","26.40000","42.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Europe","Sweden","Female","14.9 [10.7-20.1]","14.90000","10.70000","20.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Europe","Turkey","Female","16.7 [13.5-19.8]","16.70000","13.50000","19.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Europe","Ukraine","Female","14.0 [11.0-17.1]","14.00000","11.00000","17.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Europe","Uzbekistan","Female","1.2 [0.5-2.1]","1.20000","0.50000","2.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","South-East Asia","Bangladesh","Male","34.3 [23.3-45.3]","34.30000","23.30000","45.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","South-East Asia","Bangladesh","Male","29.5 [18.6-42.1]","29.50000","18.60000","42.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","South-East Asia","Indonesia","Male","87.2 [63.9-100.0]","87.20000","63.90000","100.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","South-East Asia","India","Male","29.5 [23.1-36.1]","29.50000","23.10000","36.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","South-East Asia","Myanmar","Male","56.6 [40.9-71.9]","56.60000","40.90000","71.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","South-East Asia","Nepal","Male","39.7 [31.8-47.6]","39.70000","31.80000","47.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","South-East Asia","Thailand","Male","42.3 [35.4-49.4]","42.30000","35.40000","49.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","South-East Asia","Bangladesh","Female","0.7 [0.4-1.0]","0.70000","0.40000","1.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","South-East Asia","Bangladesh","Female","0.3 [0.2-0.5]","0.30000","0.20000","0.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","South-East Asia","Bangladesh","Female","0.2 [0.1-0.3]","0.20000","0.10000","0.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","South-East Asia","Sri Lanka","Female","1.9 [1.4-2.6]","1.90000","1.40000","2.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","South-East Asia","Sri Lanka","Female","1.1 [0.8-1.4]","1.10000","0.80000","1.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","South-East Asia","Sri Lanka","Female","0.6 [0.4-0.9]","0.60000","0.40000","0.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","South-East Asia","Sri Lanka","Female","0.5 [0.3-0.7]","0.50000","0.30000","0.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","South-East Asia","Myanmar","Female","7.7 [4.3-11.7]","7.70000","4.30000","11.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","South-East Asia","Myanmar","Female","4.9 [1.7-8.4]","4.90000","1.70000","8.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","South-East Asia","Nepal","Female","13.9 [10.7-17.7]","13.90000","10.70000","17.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","South-East Asia","Thailand","Female","2.3 [1.8-2.8]","2.30000","1.80000","2.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","South-East Asia","Thailand","Female","2.1 [1.5-2.6]","2.10000","1.50000","2.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Australia","Male","12.3 [8.9-16.5]","12.30000","8.90000","16.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Brunei Darussalam","Male","29.5 [15.5-47.0]","29.50000","15.50000","47.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Western Pacific","China","Male","52.9 [42.4-63.8]","52.90000","42.40000","63.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Western Pacific","China","Male","50.1 [41.0-60.3]","50.10000","41.00000","60.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Western Pacific","China","Male","49.0 [39.2-58.8]","49.00000","39.20000","58.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Western Pacific","Fiji","Male","40.6 [18.1-63.9]","40.60000","18.10000","63.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Western Pacific","Japan","Male","33.7 [25.9-41.6]","33.70000","25.90000","41.60000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Japan","Male","25.5 [16.2-34.8]","25.50000","16.20000","34.80000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Western Pacific","Cambodia","Male","44.1 [30.7-59.4]","44.10000","30.70000","59.40000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Western Pacific","Cambodia","Male","42.5 [25.6-63.1]","42.50000","25.60000","63.10000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Cambodia","Male","41.1 [20.6-67.9]","41.10000","20.60000","67.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Kiribati","Male","82.0 [61.7-100.0]","82.00000","61.70000","100.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Kiribati","Male","54.9 [28.2-100.0]","54.90000","28.20000","100.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Republic of Korea","Male","61.5 [45.7-80.5]","61.50000","45.70000","80.50000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Western Pacific","Republic of Korea","Male","57.0 [43.6-73.5]","57.00000","43.60000","73.50000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2005","Western Pacific","Mongolia","Male","53.6 [41.5-64.9]","53.60000","41.50000","64.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Western Pacific","Niue","Male","20.3 [13.0-27.8]","20.30000","13.00000","27.80000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Nauru","Male","57.0 [37.3-76.2]","57.00000","37.30000","76.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Nauru","Male","36.9 [14.2-70.7]","36.90000","14.20000","70.70000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2015","Western Pacific","Tonga","Male","47.3 [32.9-62.3]","47.30000","32.90000","62.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2010","Western Pacific","Viet Nam","Male","48.3 [39.8-58.6]","48.30000","39.80000","58.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Western Pacific","Viet Nam","Male","47.6 [38.3-57.2]","47.60000","38.30000","57.20000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Australia","Female","9.2 [6.4-11.6]","9.20000","6.40000","11.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","Brunei Darussalam","Female","5.1 [2.5-8.6]","5.10000","2.50000","8.60000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Brunei Darussalam","Female","2.4 [0.5-5.0]","2.40000","0.50000","5.00000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2000","Western Pacific","China","Female","3.5 [2.6-4.5]","3.50000","2.60000","4.50000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Western Pacific","Fiji","Female","12.8 [6.1-20.9]","12.80000","6.10000","20.90000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Western Pacific","Japan","Female","11.3 [8.4-13.6]","11.30000","8.40000","13.60000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2020","Western Pacific","Japan","Female","9.6 [6.4-12.9]","9.60000","6.40000","12.90000","Cigarettes only"
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2012","Western Pacific","Cambodia","Female","3.5 [2.6-4.3]","3.50000","2.60000","4.30000",""
"Prevalence of smoking any tobacco product among persons aged >= 15 years","Published","2025","Western Pacific","Cambodia","Female","1.4 [0.8-2.1]","1.40000","0.80000","2.10000",""
